"year","Rank","mean_points"
2023,1,91567.3636363636
2023,2,83565.3636363636
2023,3,80220.3636363636
2023,4,75618.1818181818
2023,5,73258.1818181818
2023,6,70020.7272727273
2023,7,66292.9090909091
2023,8,64861.5454545455
2023,9,62700.2727272727
2023,10,60595.8181818182
2023,11,59027.5454545455
2023,12,57167.9090909091
2023,13,55918
2023,14,53169.2727272727
2023,15,52907
2023,16,52475.0909090909
2023,17,51969.1818181818
2023,18,50331.2727272727
2023,19,48205.4545454545
2023,20,46295.7272727273
2023,21,45271.6363636364
2023,22,41250.4545454545
2023,23,40801.0909090909
2023,24,40305.6363636364
2023,25,40021.3636363636
2023,26,39481.3636363636
2023,27,37691.0909090909
2023,28,37322.5454545455
2023,29,37063.7272727273
2023,30,36522.4545454545
2023,31,35936.8181818182
2023,32,35261.4545454545
2023,33,34266.7272727273
2023,34,32941
2023,35,32487.0909090909
2023,36,31338.2727272727
2023,37,30874.0909090909
2023,38,30428.9090909091
2023,39,29950.4545454545
2023,40,29474.7272727273
2023,41,29269.4545454545
2023,42,28927.6363636364
2023,43,28515.9090909091
2023,44,27323.4545454545
2023,45,27042.1818181818
2023,46,26577.2727272727
2023,47,25618.5454545455
2023,48,24654.2727272727
2023,49,24079.5454545455
2023,50,23763.9090909091
2023,51,23410.5454545455
2023,52,23112
2023,53,22633.9090909091
2023,54,22290.5454545455
2023,55,22012.5454545455
2023,56,21818.8181818182
2023,57,21530.7272727273
2023,58,21327.1818181818
2023,59,21159.7272727273
2023,60,20834.6363636364
2023,61,20583.2727272727
2023,62,20222.7272727273
2023,63,19533.2727272727
2023,64,19380.3636363636
2023,65,19117.8181818182
2023,66,18777.7272727273
2023,67,18577.0909090909
2023,68,18200.9090909091
2023,69,17879.6363636364
2023,70,17685.8181818182
2023,71,17560.1818181818
2023,72,17428.2727272727
2023,73,17330.7272727273
2023,74,17140.8181818182
2023,75,16909.4545454545
2023,76,16659.6363636364
2023,77,16414.0909090909
2023,78,16113.0909090909
2023,79,15555.8181818182
2023,80,15013.0909090909
2023,81,14696.6363636364
2023,82,14452.0909090909
2023,83,14222.4545454545
2023,84,13779.7272727273
2023,85,13193
2023,86,13016.1818181818
2023,87,12906.7272727273
2023,88,12820.1818181818
2023,89,12646.5454545455
2023,90,12556.5454545455
2023,91,12429.9090909091
2023,92,12296.4545454545
2023,93,12206.4545454545
2023,94,12088.2727272727
2023,95,12014.3636363636
2023,96,11843.7272727273
2023,97,11643.8181818182
2023,98,11408.7272727273
2023,99,11252.5454545455
2023,100,11127.7272727273
2023,101,10875.4545454545
2023,102,10671.9090909091
2023,103,10515.0909090909
2023,104,10442.5454545455
2023,105,10391.5454545455
2023,106,10314.5454545455
2023,107,10212.4545454545
2023,108,10147.8181818182
2023,109,10064.7272727273
2023,110,10019.0909090909
2023,111,9947.81818181818
2023,112,9914
2023,113,9824.63636363636
2023,114,9683.45454545455
2023,115,9638.18181818182
2023,116,9559.63636363636
2023,117,9506.45454545455
2023,118,9426.18181818182
2023,119,9333.09090909091
2023,120,9257.72727272727
2023,121,9133.90909090909
2023,122,8903.81818181818
2023,123,8763.72727272727
2023,124,8698.72727272727
2023,125,8616.18181818182
2023,126,8539.09090909091
2023,127,8465.09090909091
2023,128,8430.90909090909
2023,129,8356.81818181818
2023,130,8309.09090909091
2023,131,8244.72727272727
2023,132,8185.54545454545
2023,133,8124.54545454545
2023,134,8075.63636363636
2023,135,7972.72727272727
2023,136,7916.36363636364
2023,137,7802.72727272727
2023,138,7713.27272727273
2023,139,7592
2023,140,7468.18181818182
2023,141,7374.54545454545
2023,142,7295
2023,143,7257.45454545455
2023,144,7207.45454545455
2023,145,7147.81818181818
2023,146,7107.81818181818
2023,147,7025.90909090909
2023,148,6866.36363636364
2023,149,6817.18181818182
2023,150,6750.09090909091
2023,151,6707.45454545455
2023,152,6661.72727272727
2023,153,6546.54545454545
2023,154,6478.63636363636
2023,155,6407.45454545455
2023,156,6361.09090909091
2023,157,6322.36363636364
2023,158,6253.81818181818
2023,159,6200.18181818182
2023,160,6168.72727272727
2023,161,6138.18181818182
2023,162,6087.45454545455
2023,163,6063.63636363636
2023,164,6027.45454545455
2023,165,5975.09090909091
2023,166,5926.36363636364
2023,167,5888.36363636364
2023,168,5781.81818181818
2023,169,5759.09090909091
2023,170,5721.63636363636
2023,171,5632.72727272727
2023,172,5599.09090909091
2023,173,5567.27272727273
2023,174,5537.45454545455
2023,175,5506.36363636364
2023,176,5464.36363636364
2023,177,5409.54545454545
2023,178,5359.54545454545
2023,179,5320.54545454545
2023,180,5285.09090909091
2023,181,5178.63636363636
2023,182,5126.36363636364
2023,183,5077.90909090909
2023,184,5037.63636363636
2023,185,4960.90909090909
2023,186,4926.36363636364
2023,187,4899.09090909091
2023,188,4885.45454545455
2023,189,4862.72727272727
2023,190,4834.54545454545
2023,191,4801.81818181818
2023,192,4780
2023,193,4753.63636363636
2023,194,4729.09090909091
2023,195,4718.72727272727
2023,196,4700.90909090909
2023,197,4664.18181818182
2023,198,4633.45454545455
2023,199,4598.72727272727
2023,200,4572.54545454545
